Geneid	Chr	Start	End	Strand	Length	align/bam/SRR20959676	align/bam/SRR20959677	align/bam/SRR20959678	align/bam/SRR20959679	align/bam/SRR20959680	align/bam/SRR20959681	align/bam/SRR20959682	align/bam/SRR20959683
SAUSA300_RS00010	NC_007793.1	544	1905	+	1362	310	87	79	103	109	165	1004	106
SAUSA300_RS00015	NC_007793.1	2183	3316	+	1134	386	99	66	163	190	102	713	142
SAUSA300_RS00020	NC_007793.1	3697	3942	+	246	23	0	14	5	13	4	16	12
SAUSA300_RS00025	NC_007793.1	3939	5051	+	1113	1484	999	567	996	1995	789	3893	314
SAUSA300_RS00030	NC_007793.1	5061	6995	+	1935	3416	1190	2000	1164	2484	1529	8620	802
SAUSA300_RS00035	NC_007793.1	7032	9695	+	2664	6178	1527	1281	2367	4102	2408	7657	1776
SAUSA300_RS00040	NC_007793.1	9782	10594	-	813	96	33	42	67	22	33	80	32
SAUSA300_RS00045	NC_007793.1	10920	12434	+	1515	246	26	58	321	124	81	331	64
SAUSA300_RS00050	NC_007793.1	12813	14099	+	1287	1871	136	195	428	1041	174	622	234
SAUSA300_RS00055	NC_007793.1	14749	15444	+	696	38	0	30	12	53	78	149	55
SAUSA300_RS00060	NC_007793.1	15441	15770	+	330	7	2	34	2	35	109	108	5
SAUSA300_RS00065	NC_007793.1	16133	17101	+	969	128	22	28	34	46	170	142	36
SAUSA300_RS00070	NC_007793.1	17392	18330	+	939	189	32	63	92	106	109	196	78
SAUSA300_RS00075	NC_007793.1	18345	20312	+	1968	834	173	706	626	662	396	1406	170
SAUSA300_RS00080	NC_007793.1	20309	20755	+	447	111	56	117	61	69	42	241	35
SAUSA300_RS00085	NC_007793.1	20787	22187	+	1401	1676	245	650	725	1270	588	3702	412
SAUSA300_RS00090	NC_007793.1	22465	23748	+	1284	77	8	217	42	22	106	564	38
SAUSA300_RS00095	NC_007793.1	24178	24252	+	75	3	0	3	2	0	0	0	0
SAUSA300_RS00100	NC_007793.1	24260	24332	+	73	0	0	0	0	0	0	0	0
SAUSA300_RS00105	NC_007793.1	24952	25653	+	702	77	362	194	246	758	323	2043	34
SAUSA300_RS00110	NC_007793.1	25666	27492	+	1827	1416	362	847	1864	1488	1096	4632	456
SAUSA300_RS00115	NC_007793.1	27485	28819	+	1335	1431	1191	2249	2900	1994	1266	5597	458
SAUSA300_RS00120	NC_007793.1	28820	29608	+	789	573	404	1037	597	789	807	2218	196
SAUSA300_RS00125	NC_007793.1	29998	30798	+	801	120	28	38	10	20	0	62	24
